Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
913	743	267	875
914	726	241	806
915	957	478	2110
916	728	239	803
917	951	473	3
918	279	834	354
919	125	729	259
920	713	234	1871
921	786	307	917
922	331	887	407
923	132	688	210
924	12	612	146
925	63	662	194
926	309	859	1410
927	425	981	501
928	89	694	226
929	640	164	2846
930	704	226	779
931	599	120	675
932	466	1019	541
933	840	361	916
934	792	260	869
935	1031	518	38
936	241	844	378
937	546	67	2713
938	522	44	1667
939	781	301	856
940	791	316	1929
941	503	26	581
942	968	471	3
943	593	114	669
944	179	733	254
945	1027	544	69
946	1003	519	44
947	395	997	2620
948	966	490	14
949	889	410	1029
950	557	81	633
951	388	934	2567
952	816	335	2977
953	870	391	948
954	831	358	1984
955	425	979	3619
956	862	384	994
957	710	631	2855
958	85	636	4355
959	419	966	2581
960	760	272	1855
961	548	69	2719
962	805	329	881
963	613	117	3849
964	457	1008	4712
965	865	377	3032
966	863	383	4046
967	694	215	1852
968	659	179	3909
969	127	679	202
970	316	890	393
971	106	710	244
972	745	264	1890
973	734	254	3996
974	282	838	358
975	344	902	422
976	1050	563	93
977	4	560	80
978	1031	551	83
979	217	774	292
980	982	482	3
981	360	960	494
982	512	33	590
983	773	284	848
984	46	605	124
985	1078	591	123
986	183	784	316
987	249	803	3495
988	833	351	908
989	348	900	423
990	950	463	3
991	427	976	3662
992	533	52	1656
993	406	963	483
994	164	720	242
995	395	951	471
996	230	788	308
997	602	71	2769
998	1084	500	3199
999	174	774	308
